id,"name","address","city","state",zip,gba,floors,"image",employee,show,"type","subgroup","costar"
10,"257 Park Avenue South","257 Park Avenue South","New York","NY",10001,0,0,"",3,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157507&IsCostar=Costar"
11,"841 Broadway","841 Broadway","New York","NY",10001,0,0,"",3,0,"Office","Midtown_South","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=158451&IsCostar=Costar"
12,"853 Broadway","853 Broadway","New York","NY",10001,0,0,"",3,0,"Office","Midtown_South","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157528&IsCostar=Costar"
14,"Bosque River Centre","Bosque River Center","Stephenville","TX",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1171031&IsCostar=Costar"
15,"The Costco Center","Carrolton Plaza Shopping Center","New Orleans","LA",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1158752&IsCostar=Costar"
16,"Commack Shopping Center","Commack Shopping Center","Commack","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23339&CheckSum=322529252&InvestmentProperty=False&propertyid=1166089&IsCostar=Costar"
17,"Concourse Plaza","Concourse Plaza","Bronx","NY",0,0,0,"",0,0,"Retail","NYC","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1166379&IsCostar=Costar"
18,"Kohls Plaza","Kohls Plaza","Levittown","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=827554&IsCostar=Costar"
19,"Cypress Winds","Cypress Winds","Metairie","LA",0,0,0,"",0,0,"Retail","",""
20,"Delmont Village Shopping Center","Delmont Village Shopping Center","Baton Rouge","LA",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1159504&IsCostar=Costar"
21,"East End Commons","East End Commons","Riverhead","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=827148&IsCostar=Costar"
22,"East Lake Shopping Center","East Lake Shopping Center","New Orleans","LA",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1165873&IsCostar=Costar"
23,"Glen Oaks Shopping Center","Glen Oaks Shopping Center","Queens","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1155636&IsCostar=Costar"
24,"Hampton Village Shopping Center","Hampton Village Shopping Center","St. Louis","MO",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=777026&IsCostar=Costar"
25,"Herald Center","Herald Center","New York","NY",0,0,0,"",0,0,"Retail","NYC","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=391009&IsCostar=Costar"
26,"Home Depot Shopping Center","Home Depot Shopping Center","Elmont","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1171773&IsCostar=Costar"
27,"Lakeside Shopping Center","Lakeside Shopping Center","Metairie","LA",0,0,0,"",0,0,"Retail","","http://lakesideshopping.com/"
28,"Nassau Mall","Nassau Mall","Levittown","NY",0,0,0,"",0,0,"Retail","QLI","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=827539&IsCostar=Costar"
29,"North Riverside Park Mall","North Riverside Park Mall","North Riverside","IL",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=823653&IsCostar=Costar"
30,"One & Olney Square","One & Olney Square","Philiadelphia","PA",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=737634&IsCostar=Costar"
31,"Parkwest Center","Parkwest Center","Fort Wayne","IN",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1157652&IsCostar=Costar"
32,"Pine Valley Shopping Center","Pine Valley Shopping Center","Fort Wayne","IN",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=1179858&IsCostar=Costar"
67,"853 Broadway","853 Broadway","New York","NY",10001,0,0,"",0,0,"Retail","Midtown_South","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157528&IsCostar=Costar"
34,"Stop & Shop at Cherry Valley","Stop & Shop at Cherry Valley","West Hempstead","NY",0,0,0,"",0,0,"Retail","NYC","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23339&CheckSum=322529252&InvestmentProperty=False&propertyid=6639097&IsCostar=Costar"
35,"30-30 Thomson Avenue","30-30 Thomson Avenue","Long Island City","NY",0,0,0,"",0,0,"Office","Metro_Area","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=186869&IsCostar=Costar"
36,"551 Fifth Avenue","551 Fifth Avenue","New York","NY",0,0,0,"",0,0,"Retail","NYC","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157159&IsCostar=Costar"
37,"Clark Industrial Park","Clark Industrial Park","Clark","NJ",0,0,0,"",0,0,"Retail","",""
38,"Garden City Center","Garden City Center","Garden City","NY",0,0,0,"",0,0,"Office","Metro_Area","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=181693&IsCostar=Costar"
39,"2001 Marcus Avenue","2001 Marcus Avenue","Lake Success","NY",0,0,0,"",0,0,"Office","Metro_Area","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=105725&IsCostar=Costar"
40,"3601 Hempstead Turnpike","3601 Hempstead Turnpike","Levittown","NY",0,0,0,"",0,0,"Office","Metro_Area","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=181561&IsCostar=Costar"
